0/speaker,0/utterance,0/emotion,0/annotation,1/speaker,1/utterance,1/emotion,1/annotation,2/speaker,2/utterance,2/emotion,2/annotation,3/speaker,3/utterance,3/emotion,3/annotation,4/speaker,4/utterance,4/emotion,4/annotation,5/speaker,5/utterance,5/emotion,5/annotation,6/speaker,6/utterance,6/emotion,6/annotation,7/speaker,7/utterance,7/emotion,7/annotation,8/speaker,8/utterance,8/emotion,8/annotation,9/speaker,9/utterance,9/emotion,9/annotation,10/speaker,10/utterance,10/emotion,10/annotation,11/speaker,11/utterance,11/emotion,11/annotation,12/speaker,12/utterance,12/emotion,12/annotation,13/speaker,13/utterance,13/emotion,13/annotation,14/speaker,14/utterance,14/emotion,14/annotation,15/speaker,15/utterance,15/emotion,15/annotation,16/speaker,16/utterance,16/emotion,16/annotation,17/speaker,17/utterance,17/emotion,17/annotation,18/speaker,18/utterance,18/emotion,18/annotation,19/speaker,19/utterance,19/emotion,19/annotation,20/speaker,20/utterance,20/emotion,20/annotation,21/speaker,21/utterance,21/emotion,21/annotation,22/speaker,22/utterance,22/emotion,22/annotation,23/speaker,23/utterance,23/emotion,23/annotation
Nurse,This rooms available.,neutral,5000000,Rachel,Okay!,joy,2300000,Rachel,Okay wait!,non-neutral,2101100,Rachel,You listen to me!,anger,0000500,Rachel,You listen to me!,anger,0000500,Rachel,"Since I have been waiting four women, thats four, one higher than the number of centimeters that I am dilated, have come and gone with their babies!",non-neutral,1000211,Rachel,Im next!,anger,0200300,Rachel,Its my turn!,anger,0200300,Rachel,Its only fair!,anger,1000400,Rachel,And if you bring in one woman and she has her baby before me Im going to sue you!,anger,1000301,Rachel,"Not this hospital, Im going to sue you!",anger,0000401,Rachel,And my husband  hes a lawyer!,non-neutral,2100200,Ross,Uh Rach,neutral,4001000,Rachel,Go get back on that case honey!,anger,1100300,Nurse,I dont think the next patient is very far along.,neutral,5000000,Rachel,"Okay, well then bring her in.",neutral,5000000,Woman,OH.MY.GAWD!!!,surprise,0100130,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joey,"Ross-Ross-Ross-Ross! Stay away from that guy , and that guy . And that oneDude! Theyre all huge!",fear,1004000,Ross,They dont look any bigger than me!,non-neutral,2000120,Joey,"Well, maybe thats because youre closer to you. So you look bigger to you from where you are.",non-neutral,2001011,Emily,Im just going to say hi to the lads. All right?,neutral,5000000,Ross,All right.,neutral,5000000,Emily,Okay.,neutral,5000000,Phoebe,Hi.,neutral,5000000,Phoebe,Whoa!  I kinda liked it.,joy,0300020,Ross,"Okay, I know what I have to do. Ive got to go Red Ross.  Yknow, Red Ross!",non-neutral,2002100,Joey,I totally dont know what youre talking about.,non-neutral,2000021,Ross,Come on! The time we were all waiting in line for,non-neutral,2001101,Phoebe,Y'know you guys were a lot more supportive when I wanted to make denim furniture.,non-neutral,2000201,Joey,"No, Pheebs, listen, if you decide to do this, well be supportive like crazy.",neutral,3100100,All,Yeah.,neutral,3100100,Monica,We just want you to think it through.,neutral,5000000,Rachel,"Yeah, honey, maybe you can talk to somebody whos had a baby. Like your mom?",neutral,4001000,Phoebe,My mom never gave birth. Oh! But my birth mom did.,neutral,3100010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoebe,"Umm, thank you for meeting with me.",neutral,5000000,Frank Sr.,Thank you. All right.,neutral,5000000,Phoebe,"Come, sit.",neutral,4000001,Phoebe,Sit.,neutral,4000001,Phoebe,Sit!,anger,2000300,Phoebe,"Umm, all righty, before we get started I justI need you to state for the official record that you are in fact Frank Buffay.",neutral,3000110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ross,Lucky sixes....,neutral,4100000,Rachel,"Everybody, this is Paolo. Paolo, I want you to meet my friends. This is Monica.",neutral,4100000,Monica,Hi!,neutral,3200000,Rachel,And Joey....,neutral,5000000,Monica,Hi!,neutral,3200000,Rachel,And Ross.,neutral,5000000,Monica,Hi!,neutral,3200000,Rachel,He doesn't speak much English.,neutral,5000000,Rachel,Look at that!,surprise,0000050,Ross,"So, um... where did Paolo come from?",neutral,5000000,Rachel,"Oh... Italy, I think.",neutral,5000000,Ross,"No, I mean tonight, in the building. Suddenly. Into our lives.",neutral,4000010,Rachel,"Well, the cat... the cat turned out to be Paolo's cat!",neutral,3000020,Ross,"That, that is funny... .... and Rachel keeps touching him.",neutral,3000110,Phoebe,Alright. I looked all over the building and I couldn't find the kitty anywhere.,neutral,4010000,Rachel,"Oh, I found him. He was Paolo's cat.",neutral,4100000,Phoebe,Ah! Well! There you go! Last to know again! And I'm guessing... since nobody told me... this is Paolo.,non-neutral,1000211,Rachel,"Ah, Paolo, this is Phoebe.",neutral,5000000,Phoebe,You betcha!,non-neutral,2100101,,,,,,,,,,,,,,,,,,,,
Ross,"Okay, where in the hell did you get that?!",surprise,0000050,Monica,"When Mom and Dad drove you to the hospital to get your nose fixed, I swam into the lake and fished it out.",neutral,5000000,Ross,That cup is mine!,anger,1000310,Monica,"No its not! You want it, youre gonna have to win it!",anger,0000500,Rachel,"All right, so are we not having dinner at all?",non-neutral,2010020,Rachel,Why?,non-neutral,2010020,Monica,Because I don't work at the Szechwan Dragon.,neutral,4000001,Ross,Okay.,neutral,5000000,Rachel,"You really, really need to get some sleep, honey.",neutral,4010000,Monica,I know I do.,neutral,4010000,Ross,Hi.,neutral,5000000,Rachel,Hi.,neutral,5000000,Ross,Guess what?,neutral,4000010,Rachel,What?,neutral,4000010,Ross,They published my paper.,joy,0500000,Rachel,"Oh, really, let me see, let me see.",joy,0300020,Phoebe,"Rach, look!  Oh, hi! Where is my strong Ross Skywalker to come rescue me.  There he is.",non-neutral,2200010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rachel,Oh my God.,surprise,0000050,Monica,"You know what this is, this is us getting ready for the prom.",neutral,4100000,Rachel,Oh.,neutral,4000010,Rachel,What?! You got us evicted!!,anger,0000320,Monica,I told you not to go down there!,anger,0000410,Joey,Well he made Rachel cry!,disgust,1000103,Monica,Rachel always cries!,anger,1000301,Rachel,Thats not true!,anger,0000401,Monica,"Now Joey, you go down there and you suck up to him. I mean you suck like youve never sucked before!",neutral,3000200,Joey,"All right! Ill try! But if I cant, you can stay with Chandler and I until you get settled.",neutral,4000001,Rachel,Go!!,anger,1000400,Joey,"All right, all right, all right.",neutral,3000002,Joey,"I mean Ill have to check with him first, but Ill think hell be cool with it.",neutral,5000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ross,"So, hes just a nice guy. You really think this Mark doesnt want anything in exchange for helping him?",non-neutral,0001121,Rachel,"Well, I assume Ill have to take showers with him, but y'know, thats true of any job.",neutral,3000101,Monica,How ya feelin?,neutral,5000000,Chandler,"Well, my apartment isnt there anymore, because I drank it.",neutral,3010001,Phoebe,Whered you get too? We lost you after you opened up all the presents.,neutral,5000000,Ross,Yeah.,neutral,5000000,Chandler,"Yeah, I ended up in the storage room, and not alone.",neutral,3110000,All,Woooo hoooo!!!,joy,0300020,Chandler,"Ow, no woo-hooing, no woo-hooing.",non-neutral,1020101,Phoebe,"Why, what happened?",surprise,2000030,Chandler,"Ah, I fooled around with Joeys sister.  Well, thats not the worst part.",non-neutral,1012001,Monica,What is the worse part?,neutral,3000020,Chandler,I cant remember which sister.,non-neutral,2012000,Ross,You see what men do! Dont tell me men are not nice!  This is men!!,anger,0000311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandler,Whats wrong with you?,non-neutral,2002100,Joey,Nothing!,anger,0000410,Joey,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, havent been able to stand up since.",sadness,0032000,Joey,"But um, I dont think its anything serious.",neutral,3011000,Chandler,This sounds like a hernia. You have toyou-youGo to the doctor!,surprise,0002030,Joey,No way!,anger,0001310,Joey,"Kay look, if I have to go to the doctor for anything its gonna be for this thing sticking out of my stomach!",non-neutral,0002111,Joey,Why did I have to start working out again?,disgust,0011003,Joey,Damn you 15s!,anger,0000401,Rachel,Its a trifle.,neutral,5000000,Rachel,Its got all of these layers.,neutral,5000000,Rachel,"First theres a layer of ladyfingers, then a layer of jam, then custard, which I made from scratch.",neutral,5000000,Rachel,"[Joey and Ross make impressed faces] Then raspberries, more ladyfingers, then beef sautéed with peas and onions, [Joey and Ross look like somethings wrong.]",non-neutral,2100011,Rachel,"then a little more custard, and then bananas, and then I just put some whipped cream on top!",neutral,3200000,Ross,It tastes like feet!,disgust,0000113,Joey,I like it.,joy,1400000,Ross,Are you kidding?,surprise,0000050,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandler,Does anyone else think David Copperfield is cute?,neutral,3101000,Monica,"No, but he told me, he thinks your a fox.",neutral,3100010,Host,"Welcome everybody, welcome to Amazing Discoveries!",joy,0500000,Phoebe,"Oh, oh! It's on again!",joy,0400010,Joey,"You guys, can we please not watch this all right.",disgust,1000103,All,Shhhh!,anger,1000400,Host,"Folks, has this ever happened to you.",neutral,4010000,Host,"You go to the refrigerator to get a nice glass of milk,  and these darn cartons are so flingin'-flangin' hard to open.",neutral,3000101,Joey,"Oh, you said it Mike.  Aw! There's got to be a better way!",non-neutral,1000220,Mike,And there is Kevin.,neutral,4000001,Joey,Can we please turn this off?,non-neutral,1000202,Rachel,"Noo way, Kevin.",non-neutral,1000211,Mike,There is a revolutionary new product that guarantees that you'll never have to open up milk cartons again. Meet the Milk Master 2000.,neutral,3200000,Ross,Are you intrigued?,surprise,1100030,Chandler,You're flingin'-flangin' right I am!,joy,0400010,Mike,"Keep in mind, he's never used this product before, you're gonna see how easy this is to do.",non-neutral,2200010,Mike,Go ahead.,neutral,5000000,Mike,This works with any milk carton.,neutral,4100000,Joey,"Wow, it is easy.  Now, I can have milk everyday.",surprise,0200030,,,,,,,,,,,,,,,,,,,,
Rachel,"Well, you might want to tell him it sounds like his wife is  gay.",neutral,3001100,Ross,She is not  Shes gay. Oh my God. She is,non-neutral,1000022,Rachel,Good day for married people huh?,surprise,2000030,Ross,Im sorry your husband cheated on you.,sadness,0050000,Rachel,Im sorry your wife is gay. I guess women arent that great either.,non-neutral,1020200,Ross,Try telling my wife that.,non-neutral,2010101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joey,"Hey Ross, will you pass me that knife?",neutral,5000000,Monica,I can't wait to be with you!,joy,1400000,Monica,I'll sneak over as soon as Ross picks up Ben.,neutral,4100000,Monica,I'll just tell Rachel I'm gonna be doing laundry for a couple of hours.,neutral,5000000,Chandler,Laundry. Huh. Is that my new nickname?,non-neutral,1100021,Monica,"Awww, y'know what your nickname is, Mr. Big",non-neutral,2210000,Rachel,Arghh!!,disgust,0000113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joey,I cant believe Im going to lose this job!,non-neutral,0002120,Chandler,Oh Im so sorry man! Is there anything I can do?,sadness,0040010,Joey,Yeah! Help me get this mini-fridge past the security guard.,neutral,3100010,Wayne,"Hey Joey, I want to talk to you.",neutral,5000000,Joey,Yeah?,neutral,3000020,Joey,"Well, I dont want to talk to you Wayne!",anger,0000500,Joey,I hate you!,anger,0000500,Joey,You ruined my life!,anger,0000500,Joey,"Oh, Chandler, Wayne.",neutral,4010000,Joey,"Wayne, Chandler.",neutral,3010010,Chandler,"Hi, how are ya?",neutral,5000000,Wayne,"Joey, Joey, I-I-Ill g-get you your job back if you help me out.",neutral,3011000,Joey,Why should I help you?!,non-neutral,0000212,Chandler,The reason he just said.,neutral,4000001,Joey,What do you need?,neutral,5000000,Wayne,"I-I-I saw you on stage talking to that beautiful woman, yknow Sarah?",neutral,3002000,Paul,What?,surprise,2000030,Ross,And I too am just a love machine.,neutral,3200000,Paul,"Ross, let me show you where the guest room is.",neutral,5000000,,,,,,,,,,,,,,,,,,,,
Phoebe,"Oh, I thought this was your party and it turns out its a party for Howard. He's just the sweetest little man!",surprise,0000050,Guest #1,"See ya Phoebe! Oh and hey, thanks for chipping in!",joy,0500000,Ross,You chipped in?!,surprise,0000050,Phoebe,"Yeah, uh-huh, a 100 dollars.",neutral,4100000,Ross,Phoebe! I can't believe you gave them money! I thought you agreed it was totally unreasonable that they asked me for that money!,surprise,0000041,Phoebe,"Yeah, but they didn't ask me!",non-neutral,1200020,Phoebe,Y'know?,non-neutral,2100020,Phoebe,"This way I'm just y'know, the exotic, generous stranger.",joy,2300000,Phoebe,That's always fun to be.,joy,1400000,Ross,"Yeah, but you're making me look bad!",anger,0011300,Phoebe,No I'm not.,neutral,3000020,Phoebe,No!,surprise,1000130,Phoebe,If anything I'm making you look better!,non-neutral,0200120,Phoebe,They'll see you talking to me and that's--I'm a hit!,joy,1300100,Steve,"Oh hey, Pheebs!",joy,1300010,Phoebe,Hey!,joy,1400000,Steve,"Oh hey, Ross.",neutral,3000020,Steve,"Umm, see, I was thinking maybe you two could switch apartments because Phoebe's more our kind of people.",fear,2003000,Steve,Something to think about.,neutral,4010000,Phoebe,"Yeah, okay, my bad.",non-neutral,1020110,,,,,,,,,,,,,,,,
Monica,"Alright, alright, alright...",neutral,4000100,Joey,Here. I need to borrow some moisturizer.,neutral,5000000,Monica,For what?,neutral,3000020,Joey,Whaddya think? Today's the big day!,joy,0400001,Monica,"Oh my God. Okay, go into the bathroom, use whatever you want, just don't ever tell me what you did in there.",disgust,0001004,Joey,Thank you!,joy,0500000,Chandler,Where's Joey? His mom's on the phone.,neutral,4001000,Monica,He's in the bathroom. I don't think you wanna go in there!,non-neutral,2001002,Chandler,"C'mon, we're roommates!  My eyes!! My eyes!!",disgust,0000023,Monica,I warned you...,neutral,3000101,Rachel,Who is being loud?,anger,1000310,Chandler,"Oh, that would be Monica.",neutral,5000000,Chandler,"Hey, listen, I wanna borrow a coupla things, Aurora spent the night, I really wanna make her breakfast.",neutral,5000000,Monica,"Oh, you got the whole night, huh?",surprise,1100030,Chandler,"Yeah, well, I only have twenty minutes until Ethan, so, y'know..",neutral,3001001,Rachel,"Ooh, do I sense a little bit of resentment?",surprise,0110030,Chandler,"No, no resentment, believe me, it's worth it.",neutral,3100100,Chandler,'Kay?,neutral,5000000,Chandler,Y'know in a relationship you have these key moments that you know you'll remember for the rest of your life?,neutral,4000100,Chandler,"Well, every- single- second is like that with Aurora.. and I've just wasted about thirty-five of them talking to you people, so, uh.. Monica, can you help me with the door?",neutral,4000100,Monica,Sure.,neutral,4100000,Monica,"Oh, um, Chandler?",neutral,4000010,Monica,"Y'know, the-the old Monica would-would remind you to scrub that Teflon pan with a plastic brush...But I'm not gonna do that.",neutral,4000001,,,,
Joey,"Hey Monica, it's Joey!",joy,1400000,Monica,"Hey Joey! Aww, you remembered even though you're a big star!",joy,0300020,Joey,"Aw, come on! It'll be years before I forget you!",neutral,3200000,Monica,"Joey, what's it like on a movie set, huh?",neutral,4100000,Monica,Do you have a dressing room?,neutral,4100000,Monica,Do you have a chair with your name on it?,neutral,4100000,Joey,"Uh, well yeah-yeah, I've got all of that going on.",neutral,4001000,Joey,"Yeah, listen uh, I want you to make sure you tell Chandler that he couldn't have been more wrong!",neutral,4100000,Joey,Uh-oh!,fear,1003010,Joey,"I gotta go Monica, my uh, my sushi's here!",neutral,3001010,Joey,Sorry about that. Thanks for waitin'.,neutral,4010000,Joey,"Everybody smile!  Okay, thanks a lot! Enjoy your stay at",joy,2300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rachel,"Wow, this is so cool, you guys. The entire city is blacked out!",surprise,0200030,Monica,"Mom says it's all of Manhattan, parts of Brooklyn and Queens, and they have no idea when it's coming back on.",non-neutral,2000120,Rachel,"Wow, you guys, this is big.",surprise,0100040,Monica,Pants and a sweater?,non-neutral,2000012,Monica,"Why, mom?",non-neutral,2010011,Monica,Who am I gonna meet in a blackout?,non-neutral,0010121,Monica,Power company guys?,non-neutral,2010110,Monica,Eligible looters?,non-neutral,2000111,Monica,Could we talk about this later?,non-neutral,2020001,Monica,OK.,neutral,5000000,Phoebe,Can I borrow the phone? I want to call my apartment and check on my grandma.  What's my number?,neutral,4001000,Phoebe,"Well, I never call",neutral,3020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joey,What cha doing?,neutral,4000010,Chandler,Having a swim.,neutral,5000000,Joey,What about the chick?,neutral,3000020,Chandler,Chicks dont swim.,neutral,4000010,Joey,Are you sure?,neutral,3000020,Chandler,I dont know. Should we try it?,neutral,4000010,Joey,Sure.,neutral,5000000,Chandler,"See, I told you they dont swim.",neutral,3011000,Joey,Wait. Give him a minute.,neutral,3001010,Chandler,"Noo!  Oh, its okay, its okay, baby, baby, baby.",fear,1013000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoebe,"Me taking care of you is no problem, huh?",neutral,5000000,Phoebe,You guys feel safe.,neutral,4100000,Phoebe,Right?,neutral,5000000,Phoebe,"Okay, Im gonna take that spit bubble as, ""Yeah, I do!""",neutral,3200000,Phoebe,"Okay, after I get rid of this dirty diaper Leslie, Ill set you up with a clean one.",neutral,5000000,Phoebe,"Okay, Im sorry.",sadness,1030010,Phoebe,I didnt mean to scare you.,sadness,2030000,Phoebe,I just have to clean that up.,neutral,4010000,Phoebe,Okay?,neutral,5000000,Phoebe,"Cause lets face it, were at Monicas.",neutral,3011000,Phoebe,I broke it.,non-neutral,2021000,Phoebe,All right.,neutral,3011000,Phoebe,"Well, thats just the way that goes.",neutral,3011000,Phoebe,"Okay, good.",neutral,3110000,Phoebe,Why are there only two of you?,non-neutral,2001020,Phoebe,Where is Leslie?,non-neutral,2001020,Phoebe,"Well, you cant answer.",neutral,3001001,Phoebe,Leslie?,neutral,3001010,Phoebe,Where are you Leslie?,fear,0004010,Phoebe,"Leslie, now would be a",non-neutral,2002100,,,,,,,,,,,,,,,,
Phoebe,Hey!,joy,1300010,Monica,Hey.,neutral,4100000,Phoebe,"Hey, why are you mopping your ceiling?",non-neutral,1100021,Monica,"Oh, theres banana on it.",neutral,3000011,Rachel,You said she was bald.,non-neutral,2100110,Phoebe,"Yeah, she was bald, shes not now.",neutral,3000020,Rachel,How could you not tell me that she has hair?,surprise,1000130,Phoebe,"I dont know, I hardly ever say that about people.",neutral,3001010,Rachel,"Ohh, well, this is just perfect!",anger,1000310,Phoebe,"Well Im sorry, I thought you said it was okay.",non-neutral,1011110,Rachel,"Yeah, I said what was okay when I thought she was some weird bald chick. I mean, y'know, that girl has hair got",non-neutral,1000112,Phoebe,"Well, maybe it wont work out. Maybe Ross wont like her personality.",non-neutral,2002100,Rachel,"Why, does she have a bad personality?",neutral,3000020,Phoebe,"Oh no, Bonnies the best!",non-neutral,2100020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ross,Hey!,joy,1301000,Joey,Hey.,neutral,5000000,Ross,"Do you have a minute? Id like to talk to you about something Im, Im really uncomfortable talking about.",fear,1004000,Joey,"Sure. What? About uh, you showering with your mom?",non-neutral,1001012,Ross,"I actually had a topic in mind! Im, Im kinda going through a dry spell, sex wise.",non-neutral,2021000,Joey,"Whoa, for like months?",surprise,0000050,Joey,"Excellent! Excellent! And uh, finally, are you into any weird stuff yknow, sexually?",joy,2300000,Cliff,No!,surprise,0000131,Joey,"Oooh, wrong answer.",neutral,4010000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoebe,"Ow! My ass. Okay. Okay.  Oh, shhh!",non-neutral,0002120,Phoebe,No! No!! Its me! Its me! I-I didnt want to make any noise!,non-neutral,0102020,Phoebe Sr,Then don't break in!!,non-neutral,0102200,Joey,"Oh yeah, Smokey Joe here got half way to the highway and collapsed.",non-neutral,0010022,Chandler,I have the lung capacity of a two year old.,neutral,3010001,Monica,Then why are you smoking?,disgust,1000013,Chandler,Well its very unsettling.,non-neutral,0002102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rachel,"Honey, I was wondering....",neutral,3001010,Ross,Hmm?,neutral,3000020,Rachel,"Do you still have that, um, Navy uniform?",non-neutral,2002010,Ross,"Nooo, I had to return it to the costume place.",non-neutral,2020010,Rachel,Hmm.,neutral,3020000,Ross,I think I have an old band uniform from high school.,non-neutral,2200010,Rachel,"You remember not having sex in high school, right?",non-neutral,1000022,Ross,Yeah.,sadness,2030000,Rachel,"Well honey, what about you?",neutral,4010000,Ross,What?,neutral,3000020,Rachel,"I mean do you have any fun, you know, fantasy type things?",neutral,3001010,Ross,No.,neutral,3001001,Rachel,Come on you gotta have one!,surprise,1000130,Phoebe,Ugh!,disgust,0001103,Phoebe,I dont know Monica.,non-neutral,1012010,Phoebe,It feels funny just being here.,non-neutral,1012001,Phoebe,"I mean if you buy a bed from Janices ex-husband, thats like betraying Chandler.",non-neutral,1011101,Monica,Not at these prices.,non-neutral,2200010,Phoebe,Hi. Y'know in England this car would be on the other side of the store.  Woo!,joy,1400000,Monica,"Oh! Ohhhhh! Oh! Phoebe, come here. Aw, this is my new bed. You gotta feel this bad boy.",joy,0500000,Phoebe,"Eh, Monica it, it feels so weird, y'know, Chandlers your friend...  Oh!",surprise,0001040,Phoebe,Oh my God!,surprise,0101030,Phoebe,"Aw, all right take this bed, you can make other friends.",non-neutral,1210001,,,,
Lorraine,"You know, ever since I was little, I've been able to pick up quarters with my toes.",joy,2300000,Joey,"Good for you.  Uh, quarters or rolls of quarters?",non-neutral,2200010,Janice,"By the way, Chandler. I cut you out of all my pictures. So if you want, I have a bag with just your heads.",anger,0000401,Chandler,That's OK.,neutral,4000001,Janice,"Oh, are you sure?",surprise,0000140,Janice,Really?,surprise,0000140,Janice,"Because you know, you could make little puppets out of them, and you could use them in your theater of cruelty.",anger,1000301,Joey,We can't do that.,neutral,4000001,Chandler,What? What can't you do?,surprise,2000030,Joey,She really said that?,surprise,0000050,Ross,"Well, I added the 'exactly like me' part...",neutral,5000000,Ross,"But she said she's looking for someone, and someone is gonna be there tonight.",neutral,5000000,Joey,'Tonight' tonight?,surprise,0000050,Ross,"Well, I think it's perfect.",joy,1400000,Ross,"Y'know, it's just gonna be the two of us, she spent all day taking care of my monkey...",neutral,3200000,Chandler,I can't remember the last time I got a girl to take care of my monkey.,non-neutral,2110001,Ross,"Anyway, I figured after work I'd go pick up a bottle of wine, go over there and, uh, try to woo her.",joy,2300000,Chandler,"Hey, y'know what you should do? You should take her back to the 1890's, when that phrase was last used.",disgust,1100003,,,,,,,,,,,,,,,,,,,,,,,,
Mrs. Bing,"Car's waiting downstairs, I just wanted to drop off these copies of my book for your friends. Anything you want from Lisbon?",neutral,5000000,Chandler,"No, just knowing you're gonna be there is enough.",neutral,4100000,Mrs. Bing,"Alright, well, be good, I love you.",joy,2300000,Chandler,You kissed my best Ross! ...Or something to that effect.,anger,0100310,Mrs. Bing,"O-kay. Look, it, it was stupid.",sadness,1031000,Chandler,Really stupid.,anger,1000301,Mrs. Bing,Really stupid.,non-neutral,1021001,Mrs. Bing,And I don't even know how it happened.,non-neutral,2020010,Mrs. Bing,"I'm sorry, honey, I promise it will never happen again.",sadness,0040010,Mrs. Bing,Are we okay now?,fear,1013000,Chandler,Yeah. No. No...,anger,1010300,Ross,"Ah, the forbidden love of a man and his door.",neutral,4000001,Joey,"Shh. He did it. He told her off, and not just about the kiss, about everything.",neutral,3000110,Ross,You're kidding.,surprise,0000050,Joey,"No, no. He said ""When are you gonna grow up and start being a mom?""",neutral,4000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoebe,Oh there it is.,neutral,3000020,Monica,Thats not your regular dry cleaners.,neutral,4000010,Phoebe,"I know, but that creep that I went on that date with goes to there so I have to find a new one.",disgust,1000004,Phoebe,"I also have to find a new video store, a new bank, a new adult bookstore, a new grocery store",disgust,1000004,Monica,What?!,surprise,0000050,Phoebe,A new grocery store.,neutral,4000001,Phoebe,The universe said I was going to meet a nice guy and thats what they gave me?,non-neutral,0020012,Phoebe,When I get up there Im going to kick some ass.,anger,0000500,Monica,"Dont worry Phoebe, youre gonna meet someone. If I can meet a great guy, so can you.",neutral,5000000,Phoebe,"Yeah, we both can. And we both will.",neutral,4100000,Phoebe,"Oh, you didnt have to come in with me.",neutral,3000020,Monica,Are you kidding? This is where they get out stains! Okay? This is like,non-neutral,1200020,Phoebe,Okay.,neutral,4000010,Guy,"Oh, excuse me! I think you dropped s Wow!",surprise,1000040,Phoebe,What?,surprise,1000040,Guy,"Im sorry, its just that youre so incredibly beautiful.",surprise,0200030,Phoebe,"Oh yeah well, Im sorry about that too, but what are you going to do?",neutral,3000020,Guy,"I hope you dont think Im crazy but I feel like I was meant to pick this up, do you believe in that kind of thing?",non-neutral,2200010,Phoebe,A little.   Now youre talking.,neutral,3200000,Guy,Would you like to go out and have a cup of coffee?,neutral,3200000,Phoebe,I-I-Id love to. Let me just tell my friend.,joy,0400010,Monica,"Ooh, an ink stain! Hey, can I watch how you get this out?",joy,1300010,Phoebe,She mustve left.,neutral,4000001,,,,
Ross,Monica! Stop throwing it so hard! We're on the same team!,anger,0000500,Chandler,Four hours? You guys have been doing this for four hours?,surprise,0000140,Joey,That's right baby.,joy,1400000,Chandler,"All right, let me in.",neutral,3200000,Monica,No-no! Don't do it! Don't!,non-neutral,1002110,Chandler,What?,surprise,2000030,Monica,He's a dropper!,non-neutral,2000201,Joey,"Oh yeah, that's right!",non-neutral,2100020,Chandler,I'm not a dropper!,anger,0000500,Ross,"It's really a uh-uh three person game, y'know?",neutral,3002000,Chandler,It's throwing and catching!,non-neutral,2000201,Ross,All right.,neutral,5000000,Chandler,Oh! Oh! That's so hard.,surprise,1000031,Joey,"Whoa-whoa you guys, it's not a cat!",non-neutral,1001111,Monica,Oh myOh good God!,surprise,1000130,Rachel,"I give up you guys, I don't know what I'm going to do with this thing!",non-neutral,1011101,Ross,"Baking it didn't help, huh?",neutral,3000020,Rachel,"All right, well the place was closed. Ill just copy it later.",neutral,4010000,Joey,"Or not. Uh, Rach, why dont you just move in with me?",non-neutral,2201000,Ross,"Whoa! Whoa! Whoa, Joey!",surprise,0001040,Joey,"No-no-no-no-no-no-no-no Its okay, I mean Ilook Rach, I know I scared you off with that whole Naked Thursdays thing, but we dont have to do that!",neutral,3200000,Rachel,"Well, it would be easier to move just right across the hall. Wait a minute, unless youre thinking about Naked Wednesdays.",neutral,3101000,Joey,"Thursdays clearly not good for ya, pick a day!",joy,2300000,,,,
Sarah,"So thats two boxes of the Holiday Macaroons. On behalf of the Brown Birds of America, I salute you.",joy,2300000,Ross,"Just admit it Chandler, you have no backhand.",neutral,3000200,Chandler,"Excuse me little one, I have a very solid backhand.",non-neutral,2000102,Ross,Shielding your face and shrieking like a girl... is not a backhand.,disgust,1010003,Chandler,I was shrieking... like a Marine.,neutral,3010100,Ross,All right here. Watch me execute the three Ps of championship play. Power.  Precision.  and penache.,neutral,4100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
